Role,Menu Item,Route,Tab Name,Display Components,Component Type,Data Displayed,Actions Available,Functionality Description
Super Admin,Dashboard,/super-admin/dashboard,Main View,"System Uptime Card, API Calls Card, Database Size Card, Storage Used Card",Statistics Cards,"99.9% uptime, 1.25M API calls, 142.8GB database, 458.5GB storage",View metrics,Monitor technical platform health
Super Admin,Dashboard,/super-admin/dashboard,Main View,System Health Card,Status Card,"Database Status, API Gateway, Storage System, Email Service status",View system status,Real-time operational status monitoring
Super Admin,Dashboard,/super-admin/dashboard,Main View,Infrastructure Metrics Card,Metrics Card,"CPU: 45%, Memory: 62%, Network I/O: 128MB/s, Connections: 342","View performance metrics, Run health check",Monitor infrastructure performance
Super Admin,System Config,/super-admin/system-config,Main View,Configuration Settings Panel,Settings Panel,System-wide configuration parameters,"Edit settings, Save changes",Configure system parameters
Super Admin,Audit Logs,/super-admin/audit-logs,Main View,Audit Logs Table,Data Table,"User actions, timestamps, IP addresses, changes made","Search logs, Filter by user/date/action, Export logs",View complete system activity history

System Admin,Dashboard,/system-admin/dashboard,Main View,"Total Tenants Card, Active Subscriptions Card, Total Users Card, Expiring Licenses Card, Pending Leave Approvals Card",Statistics Cards,"15 tenants, 12 active subscriptions, 8234 users, 3 expiring licenses, dynamic leave count","Navigate to linked pages, View details",Overview of platform-wide statistics
System Admin,Dashboard,/system-admin/dashboard,Main View,System Alerts Box,Alert Panel,"Critical alerts with severity levels (Warning, Success, Error)",View alert details,Monitor critical system notifications
System Admin,Dashboard,/system-admin/dashboard,Main View,Top Tenants Box,Ranking Card,"Institution names, user counts, growth percentages",View tenant details,Track institution performance
System Admin,Dashboard,/system-admin/dashboard,Main View,Recent Tenants Box,List Card,"Name, Type, Location, Added Date",View institution details,Monitor recent additions
System Admin,Dashboard,/system-admin/dashboard,Main View,Quick Actions Section,Action Buttons,Navigation links to key sections,Navigate to sections,Quick access to management areas

System Admin,Institution Management,/system-admin/institutions,Institutions List,"Summary Cards (Total, Active, Users, Expiring)",Statistics Cards,"Total count, active count, user count, licenses expiring in 30 days",View metrics,Overview of all institutions
System Admin,Institution Management,/system-admin/institutions,Institutions List,"Search Bar, Type Filter, Status Filter, License Filter",Filter Controls,Search by name/code/location and filter options,"Search, Filter by type/status/license",Find specific institutions
System Admin,Institution Management,/system-admin/institutions,Institutions List,Institutions Table,Data Table,"Name, Code, Type, Location, Users (current/max), License Type, Expiry Date, Status","Click row to view details, Sort columns",View and navigate to institution details
System Admin,Institution Management,/system-admin/institutions,Add Institution,Basic Information Form,Form Fields,"Organization Name, Slug, Type, Location, Established Year","Fill form, Submit",Create new institution record
System Admin,Institution Management,/system-admin/institutions,Add Institution,Contact Information Form,Form Fields,"Email, Phone, Admin Name, Admin Email","Fill form, Submit",Set institution contact details
System Admin,Institution Management,/system-admin/institutions,Add Institution,Subscription & License Form,Form Fields,"License Type, Max Users, Subscription Plan","Select options, Submit",Configure institution subscription
System Admin,Institution Management,/system-admin/institutions,License Management,License Management Panel,Data Table,"Institution list with license details, expiry tracking","View licenses, Renew, Filter by type",Manage all institution licenses
System Admin,Institution Management,/system-admin/institutions,Renewals & Contracts,Contracts Panel,Data Table,"Contract status, renewal pipeline, MOU documents","Filter by status, Upload MOU, View contracts",Track and manage contracts

System Admin,Institution Detail,/system-admin/institutions/:id,Overview,Institution Information Card,Info Card,"Logo, Name, Code, Type, Location, Established Year, Email, Phone","View details, Edit institution",View institution profile
